Test ID,Module,Scenario,Device,Status,Start Time,End Time,Duration (ms),Failure Reason
TC_01,"Security","Should enforce password field masking during credentials input (Suite Check #1)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:13.063Z,2026-06-23T04:41:13.993Z,930,""
TC_02,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #2)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:13.993Z,2026-06-23T04:41:14.923Z,930,""
TC_03,"Security","Should clear session cache and tokens upon successful logout (Suite Check #3)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:14.923Z,2026-06-23T04:41:15.853Z,930,""
TC_04,"Security","Should enforce password field masking during credentials input (Suite Check #4)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:15.853Z,2026-06-23T04:41:16.783Z,930,""
TC_05,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #5)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:16.783Z,2026-06-23T04:41:17.713Z,930,""
TC_06,"Security","Should clear session cache and tokens upon successful logout (Suite Check #6)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:17.713Z,2026-06-23T04:41:18.643Z,930,""
TC_07,"Security","Should enforce password field masking during credentials input (Suite Check #7)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:18.643Z,2026-06-23T04:41:19.573Z,930,""
TC_08,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #8)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:19.573Z,2026-06-23T04:41:20.503Z,930,""
TC_09,"Security","Should clear session cache and tokens upon successful logout (Suite Check #9)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:20.503Z,2026-06-23T04:41:21.433Z,930,""
TC_10,"Security","Should enforce password field masking during credentials input (Suite Check #10)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:21.433Z,2026-06-23T04:41:22.363Z,930,""
TC_11,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #11)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:22.363Z,2026-06-23T04:41:23.293Z,930,""
TC_12,"Security","Should clear session cache and tokens upon successful logout (Suite Check #12)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:23.293Z,2026-06-23T04:41:24.223Z,930,""
TC_13,"Security","Should enforce password field masking during credentials input (Suite Check #13)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:24.223Z,2026-06-23T04:41:25.153Z,930,""
TC_14,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #14)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:25.153Z,2026-06-23T04:41:26.083Z,930,""
TC_15,"Security","Should clear session cache and tokens upon successful logout (Suite Check #15)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:26.083Z,2026-06-23T04:41:27.013Z,930,""
TC_16,"Security","Should enforce password field masking during credentials input (Suite Check #16)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:27.013Z,2026-06-23T04:41:27.943Z,930,""
TC_17,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #17)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:27.943Z,2026-06-23T04:41:28.873Z,930,""
TC_18,"Security","Should clear session cache and tokens upon successful logout (Suite Check #18)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:28.873Z,2026-06-23T04:41:29.803Z,930,""
TC_19,"Security","Should enforce password field masking during credentials input (Suite Check #19)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:29.803Z,2026-06-23T04:41:30.733Z,930,""
TC_20,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #20)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:30.733Z,2026-06-23T04:41:31.663Z,930,""
TC_21,"Security","Should clear session cache and tokens upon successful logout (Suite Check #21)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:31.663Z,2026-06-23T04:41:32.593Z,930,""
TC_22,"Security","Should enforce password field masking during credentials input (Suite Check #22)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:32.593Z,2026-06-23T04:41:33.523Z,930,""
TC_23,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #23)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:33.523Z,2026-06-23T04:41:34.453Z,930,""
TC_24,"Security","Should clear session cache and tokens upon successful logout (Suite Check #24)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:34.453Z,2026-06-23T04:41:35.383Z,930,""
TC_25,"Security","Should enforce password field masking during credentials input (Suite Check #25)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:35.383Z,2026-06-23T04:41:36.313Z,930,""
TC_26,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #26)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:36.313Z,2026-06-23T04:41:37.243Z,930,""
TC_27,"Security","Should clear session cache and tokens upon successful logout (Suite Check #27)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:37.243Z,2026-06-23T04:41:38.173Z,930,""
TC_28,"Security","Should enforce password field masking during credentials input (Suite Check #28)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:38.173Z,2026-06-23T04:41:39.103Z,930,""
TC_29,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #29)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:39.103Z,2026-06-23T04:41:40.033Z,930,""
TC_30,"Security","Should clear session cache and tokens upon successful logout (Suite Check #30)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:40.033Z,2026-06-23T04:41:40.963Z,930,""
TC_31,"Security","Should enforce password field masking during credentials input (Suite Check #31)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:40.963Z,2026-06-23T04:41:41.893Z,930,""
TC_32,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #32)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:41.893Z,2026-06-23T04:41:42.823Z,930,""
TC_33,"Security","Should clear session cache and tokens upon successful logout (Suite Check #33)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:42.823Z,2026-06-23T04:41:43.753Z,930,""
TC_34,"Security","Should enforce password field masking during credentials input (Suite Check #34)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:43.753Z,2026-06-23T04:41:44.683Z,930,""
TC_35,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #35)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:44.683Z,2026-06-23T04:41:45.613Z,930,""
TC_36,"Security","Should clear session cache and tokens upon successful logout (Suite Check #36)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:45.613Z,2026-06-23T04:41:46.543Z,930,""
TC_37,"Security","Should enforce password field masking during credentials input (Suite Check #37)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:46.543Z,2026-06-23T04:41:47.473Z,930,""
TC_38,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #38)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:47.473Z,2026-06-23T04:41:48.403Z,930,""
TC_39,"Security","Should clear session cache and tokens upon successful logout (Suite Check #39)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:48.403Z,2026-06-23T04:41:49.333Z,930,""
TC_40,"Security","Should enforce password field masking during credentials input (Suite Check #40)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:49.333Z,2026-06-23T04:41:50.263Z,930,""
TC_41,"Security","Should restrict access to dashboard screens for unauthenticated users (Suite Check #41)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:50.263Z,2026-06-23T04:41:51.193Z,930,""
TC_42,"Security","Should clear session cache and tokens upon successful logout (Suite Check #42)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:51.193Z,2026-06-23T04:41:52.123Z,930,""
TC_43,"Security","Should enforce password field masking during credentials input (Suite Check #43)","Android Emulator (Pixel 6)",Passed,2026-06-23T04:41:52.123Z,2026-06-23T04:41:53.053Z,930,""
